id,timestamp,latency_ms
746,1743557553.7982183,1.364
747,1743557553.8995981,1.331
748,1743557554.0035696,1.303
749,1743557554.1079671,1.353
750,1743557554.212931,1.588
751,1743557554.3181436,2.126
752,1743557554.425192,4.156
753,1743557554.5268583,1.434
754,1743557554.6314359,1.866
755,1743557554.7360985,2.146
756,1743557554.839783,2.184
757,1743557554.9433568,1.439
758,1743557555.047813,1.494
759,1743557555.152754,1.571
760,1743557555.2579017,2.19
761,1743557555.3619986,1.419
762,1743557555.4661906,1.318
763,1743557555.571124,1.726
764,1743557555.6752906,1.891
765,1743557555.77958,1.463
766,1743557555.881849,1.897
767,1743557555.9856431,1.207
768,1743557556.0899272,1.107
769,1743557556.1948426,1.785
770,1743557556.2993894,1.802
771,1743557556.4031966,1.443
772,1743557556.5075674,1.37
773,1743557556.6119597,1.194
774,1743557556.7159493,1.168
775,1743557556.8207643,1.263
776,1743557556.9249272,1.286
777,1743557557.02966,1.6
778,1743557557.1334825,1.429
779,1743557557.2379804,1.549
780,1743557557.34219,1.196
781,1743557557.4466393,1.423
782,1743557557.5516667,1.853
783,1743557557.6559463,1.745
784,1743557557.7609625,1.839
785,1743557557.8647778,1.232
786,1743557557.9695687,1.524
787,1743557558.074165,1.694
788,1743557558.1783414,1.381
789,1743557558.2823477,1.332
790,1743557558.386502,1.275
791,1743557558.492275,2.077
792,1743557558.596882,1.729
793,1743557558.7023394,1.966
794,1743557558.8074458,2.358
795,1743557558.9118454,1.828
796,1743557559.01295,1.673
797,1743557559.1179707,2.072
798,1743557559.2238755,2.594
799,1743557559.328264,1.742
800,1743557559.4335284,2.045
801,1743557559.5372007,1.096
802,1743557559.6428447,1.859
803,1743557559.7469454,1.475
804,1743557559.851542,1.435
805,1743557559.9564288,1.952
806,1743557560.0569625,1.132
807,1743557560.161973,1.434
808,1743557560.2677264,2.586
809,1743557560.3718412,1.505
810,1743557560.476635,1.939
811,1743557560.5809462,1.364
812,1743557560.685284,1.485
813,1743557560.7899919,1.206
814,1743557560.894254,1.28
815,1743557560.9991748,1.574
816,1743557561.099946,1.269
817,1743557561.2040036,1.17
818,1743557561.3090625,1.75
819,1743557561.4129179,1.348
820,1743557561.5175736,1.494
821,1743557561.6223598,1.508
822,1743557561.7269409,1.681
823,1743557561.8314462,1.35
824,1743557561.9353552,1.138
825,1743557562.0406055,1.753
826,1743557562.140969,1.107
827,1743557562.2452993,1.297
828,1743557562.3495038,0.951
829,1743557562.4540968,1.556
830,1743557562.560955,3.916
831,1743557562.662566,1.438
832,1743557562.7677643,2.078
833,1743557562.8731973,2.383
834,1743557562.9771574,1.505
835,1743557563.0820427,1.44
836,1743557563.1837988,1.888
837,1743557563.2887328,2.127
838,1743557563.3935163,1.846
839,1743557563.4980276,1.699
840,1743557563.6025636,1.347
841,1743557563.707064,1.292
842,1743557563.812264,1.732
843,1743557563.9170954,1.96
844,1743557564.022289,2.035
845,1743557564.1267266,1.88
846,1743557564.2281675,1.606
847,1743557564.3328612,1.379
848,1743557564.437749,1.615
849,1743557564.5426104,1.741
850,1743557564.646756,1.378
851,1743557564.7529426,2.609
852,1743557564.8567784,1.625
853,1743557564.9618034,1.698
854,1743557565.0662987,1.689
855,1743557565.1707442,1.348
856,1743557565.2723367,1.265
857,1743557565.376859,1.523
858,1743557565.4811206,1.118
859,1743557565.586056,1.714
860,1743557565.6905236,1.554
861,1743557565.7942622,1.391
862,1743557565.8981798,1.074
863,1743557566.0021286,1.32
864,1743557566.1061502,1.402
865,1743557566.2103603,1.18
866,1743557566.3121717,1.384
867,1743557566.4158294,1.123
868,1743557566.5201285,1.26
869,1743557566.6242316,1.381
870,1743557566.7282717,1.223
871,1743557566.8320568,1.244
872,1743557566.9362016,1.345
873,1743557567.040514,1.306
874,1743557567.1448007,1.451
875,1743557567.2495785,1.722
876,1743557567.3515766,1.91
877,1743557567.4563737,2.018
878,1743557567.5608022,1.921
879,1743557567.6648207,1.738
880,1743557567.7685864,1.256
881,1743557567.8726768,1.58
882,1743557567.9768767,1.543
883,1743557568.080899,1.061
884,1743557568.185503,1.626
885,1743557568.2904997,1.976
886,1743557568.3931518,2.416
887,1743557568.496143,1.659
888,1743557568.6016757,2.588
889,1743557568.7054956,1.727
890,1743557568.8096783,1.414
891,1743557568.913792,1.56
892,1743557569.019315,2.718
893,1743557569.1221774,2.174
894,1743557569.2256465,1.54
